日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2016-04-01,10000585,510050C1604M01850,50ETF购4月1850,1.0,-0.054,0.0,0.0,0.133,20160401,50ETF,510050,购
2016-04-01,10000586,510050C1604M01900,50ETF购4月1900,1.0,-0.055,0.0,0.0,0.137,20160401,50ETF,510050,购
2016-04-01,10000575,510050C1604M01950,50ETF购4月1950,0.974,-0.106,0.5,0.035,0.136,20160401,50ETF,510050,购
2016-04-01,10000576,510050C1604M02000,50ETF购4月2000,0.921,-0.183,1.154,0.085,0.131,20160401,50ETF,510050,购
2016-04-01,10000577,510050C1604M02050,50ETF购4月2050,0.81,-0.32,1.867,0.158,0.117,20160401,50ETF,510050,购
2016-04-01,10000578,510050C1604M02100,50ETF购4月2100,0.693,-0.405,2.343,0.204,0.101,20160401,50ETF,510050,购
2016-04-01,10000579,510050C1604M02150,50ETF购4月2150,0.564,-0.457,2.533,0.229,0.083,20160401,50ETF,510050,购
2016-04-01,10000589,510050C1604M02200,50ETF购4月2200,0.437,-0.449,2.543,0.229,0.065,20160401,50ETF,510050,购
2016-04-01,10000593,510050C1604M02250,50ETF购4月2250,0.322,-0.412,2.266,0.209,0.048,20160401,50ETF,510050,购
2016-04-01,10000597,510050C1604M02300,50ETF购4月2300,0.227,-0.348,1.876,0.175,0.034,20160401,50ETF,510050,购
2016-04-01,10000611,510050C1605M02000,50ETF购5月2000,0.873,-0.164,1.267,0.174,0.256,20160401,50ETF,510050,购
2016-04-01,10000601,510050C1605M02050,50ETF购5月2050,0.771,-0.229,1.66,0.254,0.228,20160401,50ETF,510050,购
2016-04-01,10000602,510050C1605M02100,50ETF购5月2100,0.665,-0.28,1.832,0.306,0.198,20160401,50ETF,510050,购
2016-04-01,10000603,510050C1605M02150,50ETF购5月2150,0.566,-0.306,1.89,0.33,0.169,20160401,50ETF,510050,购
2016-04-01,10000604,510050C1605M02200,50ETF购5月2200,0.474,-0.316,1.83,0.334,0.143,20160401,50ETF,510050,购
2016-04-01,10000605,510050C1605M02250,50ETF购5月2250,0.388,-0.305,1.736,0.321,0.118,20160401,50ETF,510050,购
2016-04-01,10000567,510050C1606M01800,50ETF购6月1800,1.0,-0.052,0.0,0.0,0.407,20160401,50ETF,510050,购
2016-04-01,10000551,510050C1606M01850,50ETF购6月1850,1.0,-0.054,0.0,0.0,0.419,20160401,50ETF,510050,购
2016-04-01,10000552,510050C1606M01900,50ETF购6月1900,1.0,-0.055,0.0,0.0,0.43,20160401,50ETF,510050,购
2016-04-01,10000541,510050C1606M01950,50ETF购6月1950,0.917,-0.111,0.852,0.158,0.399,20160401,50ETF,510050,购
2016-04-01,10000535,510050C1606M02000,50ETF购6月2000,0.814,-0.176,1.212,0.277,0.355,20160401,50ETF,510050,购
2016-04-01,10000529,510050C1606M02050,50ETF购6月2050,0.73,-0.214,1.392,0.342,0.321,20160401,50ETF,510050,购
2016-04-01,10000523,510050C1606M02100,50ETF购6月2100,0.647,-0.242,1.474,0.384,0.286,20160401,50ETF,510050,购
2016-04-01,10000459,510050C1606M02150,50ETF购6月2150,0.569,-0.259,1.497,0.406,0.253,20160401,50ETF,510050,购
2016-04-01,10000449,510050C1606M02200,50ETF购6月2200,0.495,-0.265,1.48,0.412,0.222,20160401,50ETF,510050,购
2016-04-01,10000450,510050C1606M02250,50ETF购6月2250,0.426,-0.261,1.425,0.405,0.192,20160401,50ETF,510050,购
2016-04-01,10000451,510050C1606M02300,50ETF购6月2300,0.363,-0.253,1.335,0.388,0.164,20160401,50ETF,510050,购
2016-04-01,10000452,510050C1606M02350,50ETF购6月2350,0.306,-0.237,1.231,0.363,0.139,20160401,50ETF,510050,购
2016-04-01,10000453,510050C1606M02400,50ETF购6月2400,0.258,-0.221,1.11,0.334,0.118,20160401,50ETF,510050,购
2016-04-01,10000463,510050C1606M02450,50ETF购6月2450,0.213,-0.2,0.991,0.3,0.098,20160401,50ETF,510050,购
2016-04-01,10000464,510050C1606M02500,50ETF购6月2500,0.174,-0.177,0.87,0.265,0.08,20160401,50ETF,510050,购
2016-04-01,10000469,510050C1606M02550,50ETF购6月2550,0.146,-0.16,0.757,0.236,0.067,20160401,50ETF,510050,购
2016-04-01,10000473,510050C1606M02600,50ETF购6月2600,0.12,-0.141,0.652,0.206,0.055,20160401,50ETF,510050,购
