日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2020-03-02,10001937,510050C2003A02600,50ETF购3月2558A,1.0,-0.075,0.0,0.0,0.161,20200302,50ETF,510050,购
2020-03-02,10001933,510050C2003A02650,50ETF购3月2607A,1.0,-0.076,0.0,0.0,0.164,20200302,50ETF,510050,购
2020-03-02,10001929,510050C2003A02700,50ETF购3月2657A,0.989,-0.104,0.26,0.022,0.165,20200302,50ETF,510050,购
2020-03-02,10001909,510050C2003A02750,50ETF购3月2706A,0.972,-0.132,0.596,0.047,0.165,20200302,50ETF,510050,购
2020-03-02,10001910,510050C2003A02800,50ETF购3月2755A,0.881,-0.28,1.505,0.145,0.151,20200302,50ETF,510050,购
2020-03-02,10001911,510050C2003A02850,50ETF购3月2804A,0.784,-0.375,2.19,0.213,0.136,20200302,50ETF,510050,购
2020-03-02,10001912,510050C2003A02900,50ETF购3月2853A,0.658,-0.446,2.728,0.267,0.115,20200302,50ETF,510050,购
2020-03-02,10001913,510050C2003A02950,50ETF购3月2903A,0.513,-0.466,2.977,0.29,0.09,20200302,50ETF,510050,购
2020-03-02,10001914,510050C2003A03000,50ETF购3月2952A,0.372,-0.434,2.809,0.275,0.066,20200302,50ETF,510050,购
2020-03-02,10001915,510050C2003A03100,50ETF购3月3050A,0.164,-0.292,1.747,0.18,0.029,20200302,50ETF,510050,购
2020-03-02,10001916,510050C2003A03200,50ETF购3月3149A,0.071,-0.173,0.863,0.098,0.013,20200302,50ETF,510050,购
2020-03-02,10001917,510050C2003A03300,50ETF购3月3247A,0.036,-0.112,0.444,0.057,0.006,20200302,50ETF,510050,购
2020-03-02,10001927,510050C2003A03400,50ETF购3月3345A,0.021,-0.082,0.257,0.037,0.004,20200302,50ETF,510050,购
2020-03-02,10001987,510050C2003A03500,50ETF购3月3444A,0.014,-0.064,0.162,0.026,0.003,20200302,50ETF,510050,购
2020-03-02,10002283,510050C2003M02500,50ETF购3月2500,1.0,-0.073,0.0,0.0,0.157,20200302,50ETF,510050,购
2020-03-02,10002284,510050C2003M02550,50ETF购3月2550,1.0,-0.074,0.0,0.0,0.16,20200302,50ETF,510050,购
2020-03-02,10002285,510050C2003M02600,50ETF购3月2600,1.0,-0.076,0.0,0.0,0.164,20200302,50ETF,510050,购
2020-03-02,10002286,510050C2003M02650,50ETF购3月2650,1.0,-0.077,0.0,0.0,0.167,20200302,50ETF,510050,购
2020-03-02,10002065,510050C2003M02700,50ETF购3月2700,0.912,-0.272,0.999,0.116,0.153,20200302,50ETF,510050,购
2020-03-02,10002066,510050C2003M02750,50ETF购3月2750,0.889,-0.268,1.431,0.137,0.152,20200302,50ETF,510050,购
2020-03-02,10002067,510050C2003M02800,50ETF购3月2800,0.787,-0.38,2.115,0.212,0.136,20200302,50ETF,510050,购
2020-03-02,10002068,510050C2003M02850,50ETF购3月2850,0.666,-0.443,2.702,0.265,0.116,20200302,50ETF,510050,购
2020-03-02,10002069,510050C2003M02900,50ETF购3月2900,0.522,-0.47,2.944,0.29,0.092,20200302,50ETF,510050,购
2020-03-02,10002070,510050C2003M02950,50ETF购3月2950,0.379,-0.442,2.796,0.277,0.067,20200302,50ETF,510050,购
2020-03-02,10002071,510050C2003M03000,50ETF购3月3000,0.256,-0.374,2.329,0.234,0.045,20200302,50ETF,510050,购
2020-03-02,10002072,510050C2003M03100,50ETF购3月3100,0.109,-0.231,1.242,0.136,0.019,20200302,50ETF,510050,购
2020-03-02,10002073,510050C2003M03200,50ETF购3月3200,0.051,-0.145,0.622,0.077,0.009,20200302,50ETF,510050,购
2020-03-02,10002105,510050C2003M03300,50ETF购3月3300,0.028,-0.099,0.336,0.047,0.005,20200302,50ETF,510050,购
2020-03-02,10002113,510050C2003M03400,50ETF购3月3400,0.019,-0.08,0.212,0.033,0.003,20200302,50ETF,510050,购
2020-03-02,10002211,510050C2003M03500,50ETF购3月3500,0.011,-0.055,0.126,0.021,0.002,20200302,50ETF,510050,购
2020-03-02,10002369,510050C2004M02600,50ETF购4月2600,0.938,-0.166,0.56,0.133,0.336,20200302,50ETF,510050,购
2020-03-02,10002370,510050C2004M02650,50ETF购4月2650,0.901,-0.205,0.801,0.189,0.327,20200302,50ETF,510050,购
2020-03-02,10002333,510050C2004M02700,50ETF购4月2700,0.857,-0.238,1.067,0.245,0.315,20200302,50ETF,510050,购
2020-03-02,10002334,510050C2004M02750,50ETF购4月2750,0.798,-0.271,1.364,0.306,0.297,20200302,50ETF,510050,购
2020-03-02,10002335,510050C2004M02800,50ETF购4月2800,0.717,-0.31,1.616,0.367,0.27,20200302,50ETF,510050,购
2020-03-02,10002336,510050C2004M02850,50ETF购4月2850,0.631,-0.328,1.835,0.409,0.239,20200302,50ETF,510050,购
2020-03-02,10002337,510050C2004M02900,50ETF购4月2900,0.535,-0.34,1.898,0.431,0.204,20200302,50ETF,510050,购
2020-03-02,10002338,510050C2004M02950,50ETF购4月2950,0.44,-0.328,1.903,0.427,0.169,20200302,50ETF,510050,购
2020-03-02,10002339,510050C2004M03000,50ETF购4月3000,0.35,-0.303,1.787,0.401,0.135,20200302,50ETF,510050,购
2020-03-02,10002340,510050C2004M03100,50ETF购4月3100,0.202,-0.228,1.343,0.306,0.079,20200302,50ETF,510050,购
2020-03-02,10002341,510050C2004M03200,50ETF购4月3200,0.111,-0.157,0.868,0.205,0.043,20200302,50ETF,510050,购
2020-03-02,10002009,510050C2006A02750,50ETF购6月2706A,0.767,-0.222,0.907,0.495,0.611,20200302,50ETF,510050,购
2020-03-02,10001989,510050C2006A02800,50ETF购6月2755A,0.721,-0.232,1.018,0.545,0.581,20200302,50ETF,510050,购
2020-03-02,10001990,510050C2006A02850,50ETF购6月2804A,0.667,-0.242,1.108,0.589,0.542,20200302,50ETF,510050,购
2020-03-02,10001991,510050C2006A02900,50ETF购6月2853A,0.611,-0.243,1.199,0.621,0.502,20200302,50ETF,510050,购
