日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2022-12-01,10004743,510050C2212A02150,XD50ETF购12月2120A,0.981,-0.149,0.162,0.033,0.153,20221201,XD50ETF,510050,购
2022-12-01,10004735,510050C2212A02200,XD50ETF购12月2169A,1.0,-0.063,0.0,0.0,0.16,20221201,XD50ETF,510050,购
2022-12-01,10004663,510050C2212A02250,XD50ETF购12月2218A,1.0,-0.065,0.0,0.0,0.164,20221201,XD50ETF,510050,购
2022-12-01,10004664,510050C2212A02300,XD50ETF购12月2268A,0.986,-0.11,0.196,0.026,0.165,20221201,XD50ETF,510050,购
2022-12-01,10004651,510050C2212A02350,XD50ETF购12月2317A,0.974,-0.139,0.338,0.043,0.166,20221201,XD50ETF,510050,购
2022-12-01,10004635,510050C2212A02400,XD50ETF购12月2366A,0.961,-0.16,0.509,0.06,0.167,20221201,XD50ETF,510050,购
2022-12-01,10004579,510050C2212A02450,XD50ETF购12月2416A,0.944,-0.18,0.765,0.081,0.167,20221201,XD50ETF,510050,购
2022-12-01,10004237,510050C2212A02500,XD50ETF购12月2465A,0.889,-0.255,1.268,0.136,0.16,20221201,XD50ETF,510050,购
2022-12-01,10004238,510050C2212A02550,XD50ETF购12月2514A,0.809,-0.334,1.821,0.195,0.147,20221201,XD50ETF,510050,购
2022-12-01,10004239,510050C2212A02600,XD50ETF购12月2564A,0.707,-0.386,2.39,0.246,0.13,20221201,XD50ETF,510050,购
2022-12-01,10004240,510050C2212A02650,XD50ETF购12月2613A,0.578,-0.427,2.688,0.28,0.107,20221201,XD50ETF,510050,购
2022-12-01,10004241,510050C2212A02700,XD50ETF购12月2662A,0.447,-0.433,2.641,0.283,0.083,20221201,XD50ETF,510050,购
2022-12-01,10004242,510050C2212A02750,XD50ETF购12月2711A,0.324,-0.386,2.413,0.257,0.061,20221201,XD50ETF,510050,购
2022-12-01,10004243,510050C2212A02800,XD50ETF购12月2761A,0.223,-0.322,1.964,0.213,0.042,20221201,XD50ETF,510050,购
2022-12-01,10004244,510050C2212A02850,XD50ETF购12月2810A,0.148,-0.254,1.491,0.166,0.028,20221201,XD50ETF,510050,购
2022-12-01,10004245,510050C2212A02900,XD50ETF购12月2859A,0.098,-0.194,1.079,0.124,0.019,20221201,XD50ETF,510050,购
2022-12-01,10004273,510050C2212A02950,XD50ETF购12月2909A,0.07,-0.159,0.784,0.096,0.013,20221201,XD50ETF,510050,购
2022-12-01,10004275,510050C2212A03000,XD50ETF购12月2958A,0.049,-0.127,0.569,0.073,0.009,20221201,XD50ETF,510050,购
2022-12-01,10004327,510050C2212A03100,XD50ETF购12月3057A,0.024,-0.075,0.292,0.04,0.005,20221201,XD50ETF,510050,购
2022-12-01,10004331,510050C2212A03200,XD50ETF购12月3155A,0.012,-0.046,0.156,0.023,0.002,20221201,XD50ETF,510050,购
2022-12-01,10004339,510050C2212A03300,XD50ETF购12月3254A,0.009,-0.037,0.104,0.017,0.002,20221201,XD50ETF,510050,购
2022-12-01,10004389,510050C2212A03400,XD50ETF购12月3352A,0.007,-0.033,0.076,0.014,0.001,20221201,XD50ETF,510050,购
2022-12-01,10004401,510050C2212A03500,XD50ETF购12月3451A,0.006,-0.03,0.058,0.011,0.001,20221201,XD50ETF,510050,购
2022-12-01,10004841,510050C2212M02400,XD50ETF购12月2400,0.923,-0.239,0.809,0.104,0.162,20221201,XD50ETF,510050,购
2022-12-01,10004842,510050C2212M02450,XD50ETF购12月2450,0.89,-0.268,1.156,0.134,0.159,20221201,XD50ETF,510050,购
2022-12-01,10004843,510050C2212M02500,XD50ETF购12月2500,0.822,-0.337,1.649,0.187,0.149,20221201,XD50ETF,510050,购
2022-12-01,10004844,510050C2212M02550,XD50ETF购12月2550,0.737,-0.378,2.221,0.234,0.135,20221201,XD50ETF,510050,购
2022-12-01,10004845,510050C2212M02600,XD50ETF购12月2600,0.61,-0.435,2.55,0.275,0.113,20221201,XD50ETF,510050,购
2022-12-01,10004846,510050C2212M02650,XD50ETF购12月2650,0.478,-0.429,2.723,0.285,0.089,20221201,XD50ETF,510050,购
2022-12-01,10004847,510050C2212M02700,XD50ETF购12月2700,0.348,-0.393,2.516,0.265,0.065,20221201,XD50ETF,510050,购
2022-12-01,10004848,510050C2212M02750,XD50ETF购12月2750,0.25,-0.354,2.038,0.228,0.047,20221201,XD50ETF,510050,购
2022-12-01,10004849,510050C2212M02800,XD50ETF购12月2800,0.165,-0.275,1.586,0.178,0.031,20221201,XD50ETF,510050,购
2022-12-01,10004833,510050C2301A02350,XD50ETF购1月2317A,0.933,-0.166,0.545,0.133,0.32,20221201,XD50ETF,510050,购
2022-12-01,10004779,510050C2301A02400,XD50ETF购1月2366A,0.913,-0.178,0.714,0.162,0.319,20221201,XD50ETF,510050,购
2022-12-01,10004780,510050C2301A02450,XD50ETF购1月2416A,0.868,-0.216,0.97,0.219,0.308,20221201,XD50ETF,510050,购
2022-12-01,10004781,510050C2301A02500,XD50ETF购1月2465A,0.817,-0.245,1.243,0.271,0.294,20221201,XD50ETF,510050,购
2022-12-01,10004782,510050C2301A02550,XD50ETF购1月2514A,0.756,-0.264,1.551,0.321,0.276,20221201,XD50ETF,510050,购
2022-12-01,10004783,510050C2301A02600,XD50ETF购1月2564A,0.666,-0.297,1.76,0.372,0.245,20221201,XD50ETF,510050,购
2022-12-01,10004784,510050C2301A02650,XD50ETF购1月2613A,0.574,-0.312,1.887,0.401,0.213,20221201,XD50ETF,510050,购
2022-12-01,10004785,510050C2301A02700,XD50ETF购1月2662A,0.48,-0.306,1.941,0.407,0.179,20221201,XD50ETF,510050,购
2022-12-01,10004786,510050C2301A02750,XD50ETF购1月2711A,0.392,-0.296,1.827,0.392,0.147,20221201,XD50ETF,510050,购
2022-12-01,10004787,510050C2301A02800,XD50ETF购1月2761A,0.31,-0.272,1.655,0.36,0.117,20221201,XD50ETF,510050,购
2022-12-01,10004837,510050C2301A02850,XD50ETF购1月2810A,0.24,-0.239,1.447,0.317,0.091,20221201,XD50ETF,510050,购
2022-12-01,10004859,510050C2301M02400,XD50ETF购1月2400,0.887,-0.199,0.881,0.196,0.313,20221201,XD50ETF,510050,购
2022-12-01,10004860,510050C2301M02450,XD50ETF购1月2450,0.825,-0.249,1.148,0.263,0.295,20221201,XD50ETF,510050,购
2022-12-01,10004861,510050C2301M02500,XD50ETF购1月2500,0.773,-0.261,1.456,0.308,0.281,20221201,XD50ETF,510050,购
2022-12-01,10004862,510050C2301M02550,XD50ETF购1月2550,0.688,-0.296,1.679,0.361,0.252,20221201,XD50ETF,510050,购
2022-12-01,10004863,510050C2301M02600,XD50ETF购1月2600,0.598,-0.314,1.832,0.395,0.221,20221201,XD50ETF,510050,购
2022-12-01,10004864,510050C2301M02650,XD50ETF购1月2650,0.504,-0.311,1.925,0.408,0.188,20221201,XD50ETF,510050,购
2022-12-01,10004865,510050C2301M02700,XD50ETF购1月2700,0.411,-0.3,1.859,0.397,0.154,20221201,XD50ETF,510050,购
2022-12-01,10004866,510050C2301M02750,XD50ETF购1月2750,0.326,-0.277,1.703,0.368,0.123,20221201,XD50ETF,510050,购
2022-12-01,10004867,510050C2301M02800,XD50ETF购1月2800,0.248,-0.238,1.508,0.323,0.094,20221201,XD50ETF,510050,购
2022-12-01,10004745,510050C2303A02150,XD50ETF购3月2120A,0.971,-0.094,0.205,0.096,0.615,20221201,XD50ETF,510050,购
2022-12-01,10004737,510050C2303A02200,XD50ETF购3月2169A,0.959,-0.106,0.278,0.128,0.619,20221201,XD50ETF,510050,购
2022-12-01,10004667,510050C2303A02250,XD50ETF购3月2218A,0.94,-0.121,0.374,0.172,0.618,20221201,XD50ETF,510050,购
2022-12-01,10004668,510050C2303A02300,XD50ETF购3月2268A,0.913,-0.141,0.495,0.229,0.61,20221201,XD50ETF,510050,购
