日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2016-11-01,10000713,510050C1611M02100,50ETF购11月2100,1.0,-0.061,0.0,0.0,0.128,20161101,50ETF,510050,购
2016-11-01,10000714,510050C1611M02150,50ETF购11月2150,1.0,-0.063,0.0,0.0,0.131,20161101,50ETF,510050,购
2016-11-01,10000715,510050C1611M02200,50ETF购11月2200,1.0,-0.064,0.0,0.0,0.134,20161101,50ETF,510050,购
2016-11-01,10000716,510050C1611M02250,50ETF购11月2250,0.933,-0.112,2.718,0.074,0.128,20161101,50ETF,510050,购
2016-11-01,10000717,510050C1611M02300,50ETF购11月2300,0.631,-0.235,6.011,0.216,0.087,20161101,50ETF,510050,购
2016-11-01,10000723,510050C1611M02350,50ETF购11月2350,0.348,-0.243,5.082,0.212,0.048,20161101,50ETF,510050,购
2016-11-01,10000725,510050C1611M02400,50ETF购11月2400,0.173,-0.182,3.135,0.146,0.024,20161101,50ETF,510050,购
2016-11-01,10000629,510050C1612M01950,50ETF购12月1950,1.0,-0.057,0.0,0.0,0.307,20161101,50ETF,510050,购
2016-11-01,10000625,510050C1612M02000,50ETF购12月2000,1.0,-0.058,0.0,0.0,0.315,20161101,50ETF,510050,购
2016-11-01,10000615,510050C1612M02050,50ETF购12月2050,1.0,-0.06,0.0,0.0,0.323,20161101,50ETF,510050,购
2016-11-01,10000616,510050C1612M02100,50ETF购12月2100,1.0,-0.061,0.0,0.0,0.331,20161101,50ETF,510050,购
2016-11-01,10000617,510050C1612M02150,50ETF购12月2150,1.0,-0.063,0.0,0.0,0.339,20161101,50ETF,510050,购
2016-11-01,10000618,510050C1612M02200,50ETF购12月2200,1.0,-0.064,0.0,0.0,0.347,20161101,50ETF,510050,购
2016-11-01,10000619,510050C1612M02250,50ETF购12月2250,0.837,-0.117,3.059,0.227,0.294,20161101,50ETF,510050,购
2016-11-01,10000661,510050C1612M02300,50ETF购12月2300,0.616,-0.158,3.92,0.352,0.218,20161101,50ETF,510050,购
2016-11-01,10000669,510050C1612M02350,50ETF购12月2350,0.423,-0.159,3.682,0.361,0.15,20161101,50ETF,510050,购
2016-11-01,10000691,510050C1612M02400,50ETF购12月2400,0.272,-0.137,2.923,0.306,0.097,20161101,50ETF,510050,购
2016-11-01,10000692,510050C1612M02450,50ETF购12月2450,0.168,-0.107,2.076,0.232,0.06,20161101,50ETF,510050,购
2016-11-01,10000671,510050C1703M02100,50ETF购3月2100,1.0,-0.061,0.0,0.0,0.813,20161101,50ETF,510050,购
2016-11-01,10000672,510050C1703M02150,50ETF购3月2150,1.0,-0.062,0.0,0.0,0.832,20161101,50ETF,510050,购
2016-11-01,10000673,510050C1703M02200,50ETF购3月2200,1.0,-0.064,0.0,0.0,0.852,20161101,50ETF,510050,购
2016-11-01,10000674,510050C1703M02250,50ETF购3月2250,0.783,-0.096,2.374,0.426,0.668,20161101,50ETF,510050,购
2016-11-01,10000675,510050C1703M02300,50ETF购3月2300,0.624,-0.113,2.524,0.55,0.533,20161101,50ETF,510050,购
2016-11-01,10000681,510050C1703M02350,50ETF购3月2350,0.497,-0.116,2.421,0.578,0.426,20161101,50ETF,510050,购
2016-11-01,10000695,510050C1703M02400,50ETF购3月2400,0.387,-0.109,2.215,0.555,0.334,20161101,50ETF,510050,购
2016-11-01,10000696,510050C1703M02450,50ETF购3月2450,0.296,-0.099,1.917,0.501,0.256,20161101,50ETF,510050,购
2016-11-01,10000727,510050C1706M02200,50ETF购6月2200,0.881,-0.076,1.394,0.376,1.243,20161101,50ETF,510050,购
2016-11-01,10000728,510050C1706M02250,50ETF购6月2250,0.742,-0.091,1.758,0.61,1.048,20161101,50ETF,510050,购
2016-11-01,10000729,510050C1706M02300,50ETF购6月2300,0.633,-0.098,1.829,0.71,0.898,20161101,50ETF,510050,购
2016-11-01,10000730,510050C1706M02350,50ETF购6月2350,0.539,-0.1,1.801,0.749,0.767,20161101,50ETF,510050,购
2016-11-01,10000731,510050C1706M02400,50ETF购6月2400,0.455,-0.097,1.723,0.748,0.65,20161101,50ETF,510050,购
2016-11-01,10000718,510050P1611M02100,50ETF沽11月2100,-0.015,-0.032,0.352,0.022,-0.002,20161101,50ETF,510050,沽
2016-11-01,10000719,510050P1611M02150,50ETF沽11月2150,-0.032,-0.055,0.749,0.041,-0.005,20161101,50ETF,510050,沽
2016-11-01,10000720,510050P1611M02200,50ETF沽11月2200,-0.062,-0.077,1.51,0.07,-0.009,20161101,50ETF,510050,沽
2016-11-01,10000721,510050P1611M02250,50ETF沽11月2250,-0.172,-0.148,3.334,0.146,-0.025,20161101,50ETF,510050,沽
2016-11-01,10000722,510050P1611M02300,50ETF沽11月2300,-0.39,-0.213,5.009,0.22,-0.056,20161101,50ETF,510050,沽
2016-11-01,10000724,510050P1611M02350,50ETF沽11月2350,-0.623,-0.232,4.278,0.217,-0.091,20161101,50ETF,510050,沽
2016-11-01,10000726,510050P1611M02400,50ETF沽11月2400,-0.772,-0.197,2.96,0.173,-0.115,20161101,50ETF,510050,沽
2016-11-01,10000630,510050P1612M01950,50ETF沽12月1950,-0.013,-0.019,0.18,0.031,-0.005,20161101,50ETF,510050,沽
