日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2019-05-06,10001773,510050C1905M02500,50ETF购5月2500,0.925,-0.421,0.647,0.083,0.1,20190506,50ETF,510050,购
2019-05-06,10001774,510050C1905M02550,50ETF购5月2550,0.9,-0.472,0.871,0.103,0.099,20190506,50ETF,510050,购
2019-05-06,10001775,510050C1905M02600,50ETF购5月2600,0.85,-0.585,1.184,0.136,0.095,20190506,50ETF,510050,购
2019-05-06,10001776,510050C1905M02650,50ETF购5月2650,0.802,-0.62,1.579,0.162,0.091,20190506,50ETF,510050,购
2019-05-06,10001777,510050C1905M02700,50ETF购5月2700,0.709,-0.748,1.934,0.2,0.081,20190506,50ETF,510050,购
2019-05-06,10001778,510050C1905M02750,50ETF购5月2750,0.606,-0.8,2.241,0.225,0.07,20190506,50ETF,510050,购
2019-05-06,10001779,510050C1905M02800,50ETF购5月2800,0.491,-0.824,2.308,0.233,0.057,20190506,50ETF,510050,购
2019-05-06,10001780,510050C1905M02850,50ETF购5月2850,0.38,-0.788,2.182,0.222,0.044,20190506,50ETF,510050,购
2019-05-06,10001781,510050C1905M02900,50ETF购5月2900,0.283,-0.704,1.913,0.197,0.033,20190506,50ETF,510050,购
2019-05-06,10001791,510050C1905M02950,50ETF购5月2950,0.207,-0.611,1.568,0.167,0.024,20190506,50ETF,510050,购
2019-05-06,10001792,510050C1905M03000,50ETF购5月3000,0.149,-0.511,1.237,0.136,0.018,20190506,50ETF,510050,购
2019-05-06,10001797,510050C1905M03100,50ETF购5月3100,0.081,-0.357,0.736,0.088,0.01,20190506,50ETF,510050,购
2019-05-06,10001805,510050C1905M03200,50ETF购5月3200,0.047,-0.253,0.441,0.057,0.006,20190506,50ETF,510050,购
2019-05-06,10001813,510050C1905M03300,50ETF购5月3300,0.031,-0.199,0.287,0.041,0.004,20190506,50ETF,510050,购
2019-05-06,10001821,510050C1905M03400,50ETF购5月3400,0.022,-0.164,0.198,0.031,0.003,20190506,50ETF,510050,购
2019-05-06,10001521,510050C1906A02250,50ETF购6月2205A,0.946,-0.231,0.253,0.115,0.284,20190506,50ETF,510050,购
2019-05-06,10001519,510050C1906A02300,50ETF购6月2254A,0.939,-0.238,0.296,0.126,0.288,20190506,50ETF,510050,购
2019-05-06,10001501,510050C1906A02350,50ETF购6月2303A,0.94,-0.218,0.327,0.124,0.296,20190506,50ETF,510050,购
2019-05-06,10001502,510050C1906A02400,50ETF购6月2352A,0.92,-0.255,0.412,0.155,0.294,20190506,50ETF,510050,购
2019-05-06,10001503,510050C1906A02450,50ETF购6月2401A,0.904,-0.272,0.496,0.178,0.294,20190506,50ETF,510050,购
2019-05-06,10001504,510050C1906A02500,50ETF购6月2450A,0.882,-0.295,0.601,0.206,0.292,20190506,50ETF,510050,购
2019-05-06,10001505,510050C1906A02550,50ETF购6月2500A,0.852,-0.322,0.726,0.24,0.287,20190506,50ETF,510050,购
