日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2017-08-01,10000943,510050C1708M02400,50ETF购8月2400,1.0,-0.07,0.0,0.0,0.144,20170801,50ETF,510050,购
2017-08-01,10000933,510050C1708M02450,50ETF购8月2450,0.959,-0.194,0.513,0.059,0.14,20170801,50ETF,510050,购
2017-08-01,10000934,510050C1708M02500,50ETF购8月2500,0.945,-0.207,0.729,0.074,0.141,20170801,50ETF,510050,购
2017-08-01,10000935,510050C1708M02550,50ETF购8月2550,0.932,-0.206,1.043,0.088,0.142,20170801,50ETF,510050,购
2017-08-01,10000936,510050C1708M02600,50ETF购8月2600,0.88,-0.255,1.752,0.134,0.136,20170801,50ETF,510050,购
2017-08-01,10000937,510050C1708M02650,50ETF购8月2650,0.771,-0.337,2.737,0.203,0.121,20170801,50ETF,510050,购
2017-08-01,10000947,510050C1708M02700,50ETF购8月2700,0.612,-0.396,3.49,0.256,0.097,20170801,50ETF,510050,购
2017-08-01,10000955,510050C1708M02750,50ETF购8月2750,0.434,-0.403,3.481,0.263,0.069,20170801,50ETF,510050,购
2017-08-01,10000963,510050C1708M02800,50ETF购8月2800,0.281,-0.348,2.891,0.225,0.045,20170801,50ETF,510050,购
2017-08-01,10000885,510050C1709M02200,50ETF购9月2200,0.967,-0.139,0.219,0.078,0.327,20170801,50ETF,510050,购
2017-08-01,10000843,510050C1709M02250,50ETF购9月2250,0.967,-0.134,0.248,0.08,0.335,20170801,50ETF,510050,购
2017-08-01,10000844,510050C1709M02300,50ETF购9月2300,0.959,-0.143,0.315,0.095,0.339,20170801,50ETF,510050,购
2017-08-01,10000845,510050C1709M02350,50ETF购9月2350,0.953,-0.144,0.384,0.105,0.345,20170801,50ETF,510050,购
2017-08-01,10000846,510050C1709M02400,50ETF购9月2400,0.939,-0.157,0.507,0.13,0.346,20170801,50ETF,510050,购
2017-08-01,10000847,510050C1709M02450,50ETF购9月2450,0.933,-0.152,0.63,0.14,0.351,20170801,50ETF,510050,购
2017-08-01,10000855,510050C1709M02500,50ETF购9月2500,0.906,-0.168,0.872,0.18,0.347,20170801,50ETF,510050,购
2017-08-01,10000913,510050C1709M02550,50ETF购9月2550,0.865,-0.188,1.209,0.234,0.337,20170801,50ETF,510050,购
2017-08-01,10000921,510050C1709M02600,50ETF购9月2600,0.799,-0.215,1.624,0.303,0.315,20170801,50ETF,510050,购
2017-08-01,10000929,510050C1709M02650,50ETF购9月2650,0.706,-0.241,2.013,0.371,0.282,20170801,50ETF,510050,购
2017-08-01,10000949,510050C1709M02700,50ETF购9月2700,0.595,-0.264,2.2,0.417,0.239,20170801,50ETF,510050,购
2017-08-01,10000957,510050C1709M02750,50ETF购9月2750,0.483,-0.263,2.248,0.429,0.195,20170801,50ETF,510050,购
2017-08-01,10000965,510050C1709M02800,50ETF购9月2800,0.378,-0.25,2.09,0.409,0.154,20170801,50ETF,510050,购
2017-08-01,10000897,510050C1712M02200,50ETF购12月2200,1.0,-0.064,0.0,0.0,0.882,20170801,50ETF,510050,购
2017-08-01,10000887,510050C1712M02250,50ETF购12月2250,1.0,-0.065,0.0,0.0,0.902,20170801,50ETF,510050,购
2017-08-01,10000888,510050C1712M02300,50ETF购12月2300,1.0,-0.066,0.0,0.0,0.922,20170801,50ETF,510050,购
2017-08-01,10000889,510050C1712M02350,50ETF购12月2350,0.98,-0.079,0.223,0.083,0.919,20170801,50ETF,510050,购
2017-08-01,10000890,510050C1712M02400,50ETF购12月2400,0.949,-0.096,0.442,0.182,0.903,20170801,50ETF,510050,购
2017-08-01,10000891,510050C1712M02450,50ETF购12月2450,0.908,-0.114,0.659,0.286,0.875,20170801,50ETF,510050,购
2017-08-01,10000899,510050C1712M02500,50ETF购12月2500,0.865,-0.128,0.862,0.376,0.846,20170801,50ETF,510050,购
2017-08-01,10000915,510050C1712M02550,50ETF购12月2550,0.811,-0.142,1.065,0.469,0.802,20170801,50ETF,510050,购
2017-08-01,10000923,510050C1712M02600,50ETF购12月2600,0.748,-0.155,1.246,0.553,0.747,20170801,50ETF,510050,购
2017-08-01,10000931,510050C1712M02650,50ETF购12月2650,0.676,-0.166,1.365,0.624,0.68,20170801,50ETF,510050,购
2017-08-01,10000951,510050C1712M02700,50ETF购12月2700,0.602,-0.172,1.43,0.669,0.61,20170801,50ETF,510050,购
2017-08-01,10000959,510050C1712M02750,50ETF购12月2750,0.529,-0.174,1.439,0.69,0.539,20170801,50ETF,510050,购
2017-08-01,10000967,510050C1712M02800,50ETF购12月2800,0.46,-0.172,1.412,0.689,0.471,20170801,50ETF,510050,购
2017-08-01,10000969,510050C1803M02600,50ETF购3月2600,0.733,-0.132,1.034,0.725,1.157,20170801,50ETF,510050,购
2017-08-01,10000970,510050C1803M02650,50ETF购3月2650,0.674,-0.138,1.105,0.795,1.071,20170801,50ETF,510050,购
2017-08-01,10000971,510050C1803M02700,50ETF购3月2700,0.614,-0.141,1.151,0.843,0.983,20170801,50ETF,510050,购
2017-08-01,10000972,510050C1803M02750,50ETF购3月2750,0.556,-0.143,1.153,0.871,0.893,20170801,50ETF,510050,购
2017-08-01,10000973,510050C1803M02800,50ETF购3月2800,0.501,-0.145,1.12,0.879,0.807,20170801,50ETF,510050,购
2017-08-01,10000944,510050P1708M02400,50ETF沽8月2400,-0.006,-0.02,0.123,0.012,-0.001,20170801,50ETF,510050,沽
2017-08-01,10000938,510050P1708M02450,50ETF沽8月2450,-0.012,-0.032,0.233,0.02,-0.002,20170801,50ETF,510050,沽
2017-08-01,10000939,510050P1708M02500,50ETF沽8月2500,-0.023,-0.052,0.446,0.036,-0.004,20170801,50ETF,510050,沽
2017-08-01,10000940,510050P1708M02550,50ETF沽8月2550,-0.038,-0.068,0.782,0.055,-0.006,20170801,50ETF,510050,沽
2017-08-01,10000941,510050P1708M02600,50ETF沽8月2600,-0.093,-0.132,1.648,0.111,-0.016,20170801,50ETF,510050,沽
2017-08-01,10000942,510050P1708M02650,50ETF沽8月2650,-0.204,-0.215,2.874,0.189,-0.034,20170801,50ETF,510050,沽
2017-08-01,10000948,510050P1708M02700,50ETF沽8月2700,-0.379,-0.283,3.824,0.254,-0.064,20170801,50ETF,510050,沽
2017-08-01,10000956,510050P1708M02750,50ETF沽8月2750,-0.576,-0.277,3.924,0.262,-0.098,20170801,50ETF,510050,沽
2017-08-01,10000964,510050P1708M02800,50ETF沽8月2800,-0.752,-0.201,3.152,0.212,-0.129,20170801,50ETF,510050,沽
2017-08-01,10000886,510050P1709M02200,50ETF沽9月2200,-0.008,-0.017,0.088,0.024,-0.004,20170801,50ETF,510050,沽
2017-08-01,10000848,510050P1709M02250,50ETF沽9月2250,-0.013,-0.025,0.136,0.036,-0.006,20170801,50ETF,510050,沽
2017-08-01,10000849,510050P1709M02300,50ETF沽9月2300,-0.015,-0.026,0.172,0.041,-0.007,20170801,50ETF,510050,沽
2017-08-01,10000850,510050P1709M02350,50ETF沽9月2350,-0.02,-0.031,0.238,0.053,-0.009,20170801,50ETF,510050,沽
2017-08-01,10000851,510050P1709M02400,50ETF沽9月2400,-0.025,-0.033,0.315,0.063,-0.011,20170801,50ETF,510050,沽
2017-08-01,10000852,510050P1709M02450,50ETF沽9月2450,-0.038,-0.043,0.48,0.089,-0.017,20170801,50ETF,510050,沽
2017-08-01,10000856,510050P1709M02500,50ETF沽9月2500,-0.064,-0.061,0.758,0.134,-0.028,20170801,50ETF,510050,沽
2017-08-01,10000914,510050P1709M02550,50ETF沽9月2550,-0.109,-0.086,1.168,0.201,-0.048,20170801,50ETF,510050,沽
2017-08-01,10000922,510050P1709M02600,50ETF沽9月2600,-0.183,-0.12,1.665,0.285,-0.08,20170801,50ETF,510050,沽
2017-08-01,10000930,510050P1709M02650,50ETF沽9月2650,-0.285,-0.153,2.087,0.366,-0.126,20170801,50ETF,510050,沽
2017-08-01,10000950,510050P1709M02700,50ETF沽9月2700,-0.4,-0.17,2.352,0.416,-0.178,20170801,50ETF,510050,沽
2017-08-01,10000958,510050P1709M02750,50ETF沽9月2750,-0.521,-0.166,2.425,0.429,-0.233,20170801,50ETF,510050,沽
2017-08-01,10000966,510050P1709M02800,50ETF沽9月2800,-0.626,-0.162,2.138,0.408,-0.283,20170801,50ETF,510050,沽
2017-08-01,10000898,510050P1712M02200,50ETF沽12月2200,-0.027,-0.023,0.19,0.108,-0.031,20170801,50ETF,510050,沽
2017-08-01,10000892,510050P1712M02250,50ETF沽12月2250,-0.035,-0.027,0.243,0.133,-0.04,20170801,50ETF,510050,沽
2017-08-01,10000893,510050P1712M02300,50ETF沽12月2300,-0.044,-0.031,0.312,0.162,-0.051,20170801,50ETF,510050,沽
2017-08-01,10000894,510050P1712M02350,50ETF沽12月2350,-0.058,-0.036,0.405,0.201,-0.067,20170801,50ETF,510050,沽
2017-08-01,10000895,510050P1712M02400,50ETF沽12月2400,-0.081,-0.045,0.537,0.261,-0.094,20170801,50ETF,510050,沽
2017-08-01,10000896,510050P1712M02450,50ETF沽12月2450,-0.114,-0.057,0.694,0.335,-0.132,20170801,50ETF,510050,沽
2017-08-01,10000900,510050P1712M02500,50ETF沽12月2500,-0.154,-0.067,0.864,0.412,-0.18,20170801,50ETF,510050,沽
2017-08-01,10000916,510050P1712M02550,50ETF沽12月2550,-0.204,-0.078,1.039,0.491,-0.238,20170801,50ETF,510050,沽
2017-08-01,10000924,510050P1712M02600,50ETF沽12月2600,-0.265,-0.089,1.188,0.568,-0.312,20170801,50ETF,510050,沽
2017-08-01,10000932,510050P1712M02650,50ETF沽12月2650,-0.331,-0.096,1.306,0.629,-0.391,20170801,50ETF,510050,沽
2017-08-01,10000952,510050P1712M02700,50ETF沽12月2700,-0.4,-0.1,1.373,0.67,-0.477,20170801,50ETF,510050,沽
2017-08-01,10000960,510050P1712M02750,50ETF沽12月2750,-0.47,-0.1,1.385,0.69,-0.564,20170801,50ETF,510050,沽
2017-08-01,10000968,510050P1712M02800,50ETF沽12月2800,-0.536,-0.098,1.346,0.689,-0.649,20170801,50ETF,510050,沽
2017-08-01,10000974,510050P1803M02600,50ETF沽3月2600,-0.282,-0.065,0.97,0.744,-0.545,20170801,50ETF,510050,沽
