日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2020-01-02,10002011,510050C2001A02800,50ETF购1月2755A,0.961,-0.234,0.419,0.061,0.144,20200102,50ETF,510050,购
2020-01-02,10002012,510050C2001A02850,50ETF购1月2804A,0.957,-0.223,0.521,0.066,0.146,20200102,50ETF,510050,购
2020-01-02,10002013,510050C2001A02900,50ETF购1月2853A,0.924,-0.299,0.829,0.103,0.143,20200102,50ETF,510050,购
2020-01-02,10002014,510050C2001A02950,50ETF购1月2903A,0.902,-0.309,1.164,0.124,0.142,20200102,50ETF,510050,购
2020-01-02,10002015,510050C2001A03000,50ETF购1月2952A,0.876,-0.299,1.7,0.147,0.14,20200102,50ETF,510050,购
2020-01-02,10002016,510050C2001A03100,50ETF购1月3050A,0.64,-0.416,3.545,0.27,0.105,20200102,50ETF,510050,购
2020-01-02,10002017,510050C2001A03200,50ETF购1月3149A,0.288,-0.363,3.153,0.246,0.048,20200102,50ETF,510050,购
2020-01-02,10002018,510050C2001A03300,50ETF购1月3247A,0.091,-0.182,1.415,0.118,0.015,20200102,50ETF,510050,购
2020-01-02,10002019,510050C2001A03400,50ETF购1月3345A,0.029,-0.082,0.514,0.048,0.005,20200102,50ETF,510050,购
2020-01-02,10002047,510050C2001M02700,50ETF购1月2700,0.966,-0.234,0.328,0.054,0.142,20200102,50ETF,510050,购
2020-01-02,10002048,510050C2001M02750,50ETF购1月2750,0.967,-0.21,0.376,0.053,0.145,20200102,50ETF,510050,购
2020-01-02,10002049,510050C2001M02800,50ETF购1月2800,0.949,-0.257,0.563,0.076,0.144,20200102,50ETF,510050,购
2020-01-02,10002050,510050C2001M02850,50ETF购1月2850,0.932,-0.278,0.785,0.095,0.144,20200102,50ETF,510050,购
2020-01-02,10002051,510050C2001M02900,50ETF购1月2900,0.898,-0.325,1.157,0.128,0.141,20200102,50ETF,510050,购
2020-01-02,10002052,510050C2001M02950,50ETF购1月2950,0.875,-0.306,1.677,0.149,0.14,20200102,50ETF,510050,购
2020-01-02,10002053,510050C2001M03000,50ETF购1月3000,0.786,-0.367,2.592,0.21,0.127,20200102,50ETF,510050,购
