日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2020-05-06,10002469,510050C2005M02450,50ETF购5月2450,1.0,-0.072,0.0,0.0,0.141,20200506,50ETF,510050,购
2020-05-06,10002433,510050C2005M02500,50ETF购5月2500,1.0,-0.073,0.0,0.0,0.144,20200506,50ETF,510050,购
2020-05-06,10002434,510050C2005M02550,50ETF购5月2550,1.0,-0.074,0.0,0.0,0.146,20200506,50ETF,510050,购
2020-05-06,10002435,510050C2005M02600,50ETF购5月2600,1.0,-0.076,0.0,0.0,0.149,20200506,50ETF,510050,购
2020-05-06,10002436,510050C2005M02650,50ETF购5月2650,1.0,-0.077,0.0,0.0,0.152,20200506,50ETF,510050,购
2020-05-06,10002437,510050C2005M02700,50ETF购5月2700,1.0,-0.079,0.0,0.0,0.155,20200506,50ETF,510050,购
2020-05-06,10002438,510050C2005M02750,50ETF购5月2750,0.954,-0.128,1.539,0.066,0.15,20200506,50ETF,510050,购
2020-05-06,10002439,510050C2005M02800,50ETF购5月2800,0.715,-0.343,3.514,0.232,0.113,20200506,50ETF,510050,购
2020-05-06,10002440,510050C2005M02850,50ETF购5月2850,0.518,-0.404,3.811,0.272,0.082,20200506,50ETF,510050,购
2020-05-06,10002441,510050C2005M02900,50ETF购5月2900,0.343,-0.381,3.328,0.251,0.055,20200506,50ETF,510050,购
2020-05-06,10002471,510050C2005M02950,50ETF购5月2950,0.208,-0.302,2.503,0.196,0.033,20200506,50ETF,510050,购
2020-05-06,10002475,510050C2005M03000,50ETF购5月3000,0.121,-0.221,1.673,0.138,0.019,20200506,50ETF,510050,购
2020-05-06,10002515,510050C2005M03100,50ETF购5月3100,0.047,-0.121,0.701,0.067,0.007,20200506,50ETF,510050,购
2020-05-06,10002009,510050C2006A02750,50ETF购6月2706A,0.902,-0.15,1.402,0.181,0.324,20200506,50ETF,510050,购
2020-05-06,10001989,510050C2006A02800,50ETF购6月2755A,0.768,-0.23,2.038,0.318,0.277,20200506,50ETF,510050,购
2020-05-06,10001990,510050C2006A02850,50ETF购6月2804A,0.646,-0.273,2.321,0.388,0.234,20200506,50ETF,510050,购
2020-05-06,10001991,510050C2006A02900,50ETF购6月2853A,0.526,-0.289,2.386,0.415,0.192,20200506,50ETF,510050,购
2020-05-06,10001992,510050C2006A02950,50ETF购6月2903A,0.414,-0.287,2.228,0.407,0.152,20200506,50ETF,510050,购
2020-05-06,10001993,510050C2006A03000,50ETF购6月2952A,0.318,-0.264,1.982,0.372,0.117,20200506,50ETF,510050,购
2020-05-06,10001994,510050C2006A03100,50ETF购6月3050A,0.178,-0.2,1.355,0.272,0.066,20200506,50ETF,510050,购
2020-05-06,10001995,510050C2006A03200,50ETF购6月3149A,0.095,-0.136,0.827,0.176,0.035,20200506,50ETF,510050,购
2020-05-06,10001996,510050C2006A03300,50ETF购6月3247A,0.055,-0.096,0.503,0.116,0.02,20200506,50ETF,510050,购
2020-05-06,10001997,510050C2006A03400,50ETF购6月3345A,0.037,-0.077,0.332,0.085,0.014,20200506,50ETF,510050,购
2020-05-06,10002007,510050C2006A03500,50ETF购6月3444A,0.027,-0.065,0.233,0.065,0.01,20200506,50ETF,510050,购
2020-05-06,10002421,510050C2006M02350,50ETF购6月2350,1.0,-0.068,0.0,0.0,0.314,20200506,50ETF,510050,购
2020-05-06,10002401,510050C2006M02400,50ETF购6月2400,1.0,-0.07,0.0,0.0,0.321,20200506,50ETF,510050,购
2020-05-06,10002402,510050C2006M02450,50ETF购6月2450,1.0,-0.071,0.0,0.0,0.328,20200506,50ETF,510050,购
2020-05-06,10002291,510050C2006M02500,50ETF购6月2500,1.0,-0.073,0.0,0.0,0.334,20200506,50ETF,510050,购
2020-05-06,10002292,510050C2006M02550,50ETF购6月2550,1.0,-0.074,0.0,0.0,0.341,20200506,50ETF,510050,购
2020-05-06,10002293,510050C2006M02600,50ETF购6月2600,1.0,-0.076,0.0,0.0,0.348,20200506,50ETF,510050,购
2020-05-06,10002294,510050C2006M02650,50ETF购6月2650,1.0,-0.077,0.0,0.0,0.354,20200506,50ETF,510050,购
2020-05-06,10002083,510050C2006M02700,50ETF购6月2700,0.923,-0.135,1.246,0.151,0.331,20200506,50ETF,510050,购
2020-05-06,10002084,510050C2006M02750,50ETF购6月2750,0.784,-0.22,2.01,0.305,0.283,20200506,50ETF,510050,购
2020-05-06,10002085,510050C2006M02800,50ETF购6月2800,0.657,-0.269,2.317,0.384,0.238,20200506,50ETF,510050,购
2020-05-06,10002086,510050C2006M02850,50ETF购6月2850,0.534,-0.287,2.405,0.415,0.195,20200506,50ETF,510050,购
2020-05-06,10002087,510050C2006M02900,50ETF购6月2900,0.42,-0.286,2.255,0.408,0.154,20200506,50ETF,510050,购
