日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2017-10-09,10000991,510050C1710M02600,50ETF购10月2600,0.914,-0.278,1.335,0.09,0.103,20171009,50ETF,510050,购
2017-10-09,10000992,510050C1710M02650,50ETF购10月2650,0.873,-0.289,2.219,0.12,0.1,20171009,50ETF,510050,购
2017-10-09,10000993,510050C1710M02700,50ETF购10月2700,0.774,-0.311,4.114,0.173,0.091,20171009,50ETF,510050,购
2017-10-09,10000994,510050C1710M02750,50ETF购10月2750,0.525,-0.356,5.752,0.229,0.062,20171009,50ETF,510050,购
2017-10-09,10000995,510050C1710M02800,50ETF购10月2800,0.274,-0.306,4.451,0.192,0.032,20171009,50ETF,510050,购
2017-10-09,10001001,510050C1710M02850,50ETF购10月2850,0.132,-0.215,2.556,0.123,0.016,20171009,50ETF,510050,购
2017-10-09,10001005,510050C1710M02900,50ETF购10月2900,0.069,-0.148,1.395,0.076,0.008,20171009,50ETF,510050,购
2017-10-09,10001011,510050C1711M02600,50ETF购11月2600,0.844,-0.229,1.431,0.229,0.259,20171009,50ETF,510050,购
2017-10-09,10001012,510050C1711M02650,50ETF购11月2650,0.785,-0.237,1.995,0.279,0.245,20171009,50ETF,510050,购
2017-10-09,10001013,510050C1711M02700,50ETF购11月2700,0.689,-0.24,2.765,0.337,0.218,20171009,50ETF,510050,购
2017-10-09,10001014,510050C1711M02750,50ETF购11月2750,0.54,-0.245,3.225,0.379,0.173,20171009,50ETF,510050,购
2017-10-09,10001015,510050C1711M02800,50ETF购11月2800,0.377,-0.218,3.183,0.363,0.121,20171009,50ETF,510050,购
2017-10-09,10001021,510050C1711M02850,50ETF购11月2850,0.24,-0.176,2.556,0.297,0.078,20171009,50ETF,510050,购
2017-10-09,10000897,510050C1712M02200,50ETF购12月2200,0.92,-0.221,0.31,0.19,0.422,20171009,50ETF,510050,购
2017-10-09,10000887,510050C1712M02250,50ETF购12月2250,0.918,-0.21,0.349,0.194,0.431,20171009,50ETF,510050,购
2017-10-09,10000888,510050C1712M02300,50ETF购12月2300,0.912,-0.206,0.402,0.205,0.438,20171009,50ETF,510050,购
2017-10-09,10000889,510050C1712M02350,50ETF购12月2350,0.901,-0.209,0.473,0.223,0.442,20171009,50ETF,510050,购
2017-10-09,10000890,510050C1712M02400,50ETF购12月2400,0.886,-0.212,0.563,0.247,0.444,20171009,50ETF,510050,购
2017-10-09,10000891,510050C1712M02450,50ETF购12月2450,0.869,-0.215,0.676,0.273,0.444,20171009,50ETF,510050,购
2017-10-09,10000899,510050C1712M02500,50ETF购12月2500,0.852,-0.21,0.822,0.295,0.445,20171009,50ETF,510050,购
2017-10-09,10000915,510050C1712M02550,50ETF购12月2550,0.828,-0.207,1.02,0.327,0.441,20171009,50ETF,510050,购
2017-10-09,10000923,510050C1712M02600,50ETF购12月2600,0.789,-0.208,1.282,0.37,0.427,20171009,50ETF,510050,购
2017-10-09,10000931,510050C1712M02650,50ETF购12月2650,0.73,-0.212,1.596,0.423,0.402,20171009,50ETF,510050,购
2017-10-09,10000951,510050C1712M02700,50ETF购12月2700,0.652,-0.212,1.937,0.473,0.363,20171009,50ETF,510050,购
2017-10-09,10000959,510050C1712M02750,50ETF购12月2750,0.551,-0.21,2.157,0.506,0.31,20171009,50ETF,510050,购
2017-10-09,10000967,510050C1712M02800,50ETF购12月2800,0.443,-0.199,2.177,0.505,0.251,20171009,50ETF,510050,购
2017-10-09,10000983,510050C1712M02850,50ETF购12月2850,0.345,-0.185,1.974,0.471,0.196,20171009,50ETF,510050,购
2017-10-09,10001007,510050C1712M02900,50ETF购12月2900,0.261,-0.163,1.707,0.415,0.149,20171009,50ETF,510050,购
2017-10-09,10000989,510050C1803M02500,50ETF购3月2500,0.805,-0.167,0.728,0.517,0.879,20171009,50ETF,510050,购
2017-10-09,10000987,510050C1803M02550,50ETF购3月2550,0.775,-0.168,0.846,0.563,0.861,20171009,50ETF,510050,购
2017-10-09,10000969,510050C1803M02600,50ETF购3月2600,0.739,-0.168,0.984,0.61,0.834,20171009,50ETF,510050,购
2017-10-09,10000970,510050C1803M02650,50ETF购3月2650,0.689,-0.171,1.104,0.663,0.788,20171009,50ETF,510050,购
2017-10-09,10000971,510050C1803M02700,50ETF购3月2700,0.635,-0.169,1.235,0.706,0.735,20171009,50ETF,510050,购
2017-10-09,10000972,510050C1803M02750,50ETF购3月2750,0.571,-0.169,1.307,0.737,0.667,20171009,50ETF,510050,购
2017-10-09,10000973,510050C1803M02800,50ETF购3月2800,0.505,-0.164,1.346,0.749,0.595,20171009,50ETF,510050,购
2017-10-09,10000985,510050C1803M02850,50ETF购3月2850,0.44,-0.158,1.335,0.74,0.521,20171009,50ETF,510050,购
2017-10-09,10001009,510050C1803M02900,50ETF购3月2900,0.376,-0.148,1.289,0.712,0.448,20171009,50ETF,510050,购
2017-10-09,10000996,510050P1710M02600,50ETF沽10月2600,-0.025,-0.053,0.729,0.034,-0.003,20171009,50ETF,510050,沽
2017-10-09,10000997,510050P1710M02650,50ETF沽10月2650,-0.048,-0.068,1.561,0.057,-0.006,20171009,50ETF,510050,沽
2017-10-09,10000998,510050P1710M02700,50ETF沽10月2700,-0.167,-0.147,4.43,0.144,-0.02,20171009,50ETF,510050,沽
2017-10-09,10000999,510050P1710M02750,50ETF沽10月2750,-0.47,-0.21,7.268,0.229,-0.058,20171009,50ETF,510050,沽
2017-10-09,10001000,510050P1710M02800,50ETF沽10月2800,-0.778,-0.137,5.023,0.171,-0.096,20171009,50ETF,510050,沽
2017-10-09,10001002,510050P1710M02850,50ETF沽10月2850,-0.898,-0.074,2.411,0.102,-0.113,20171009,50ETF,510050,沽
