日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2018-01-02,10001083,510050C1801A02900,50ETF购1月2847A,0.72,-0.385,2.881,0.24,0.121,20180102,50ETF,510050,购
2018-01-02,10001073,510050C1801A02950,50ETF购1月2896A,0.564,-0.42,3.442,0.281,0.096,20180102,50ETF,510050,购
2018-01-02,10001074,510050C1801A03000,50ETF购1月2946A,0.392,-0.398,3.349,0.274,0.067,20180102,50ETF,510050,购
2018-01-02,10001075,510050C1801A03100,50ETF购1月3044A,0.137,-0.221,1.897,0.156,0.023,20180102,50ETF,510050,购
2018-01-02,10001076,510050C1801A03200,50ETF购1月3142A,0.038,-0.088,0.673,0.059,0.007,20180102,50ETF,510050,购
2018-01-02,10001077,510050C1801A03300,50ETF购1月3240A,0.017,-0.053,0.295,0.031,0.003,20180102,50ETF,510050,购
2018-01-02,10001151,510050C1801M02650,50ETF购1月2650,0.928,-0.29,0.715,0.098,0.146,20180102,50ETF,510050,购
2018-01-02,10001135,510050C1801M02700,50ETF购1月2700,0.917,-0.276,0.942,0.109,0.148,20180102,50ETF,510050,购
2018-01-02,10001127,510050C1801M02750,50ETF购1月2750,0.896,-0.273,1.34,0.129,0.147,20180102,50ETF,510050,购
2018-01-02,10001095,510050C1801M02800,50ETF购1月2800,0.833,-0.319,2.071,0.179,0.138,20180102,50ETF,510050,购
2018-01-02,10001096,510050C1801M02850,50ETF购1月2850,0.714,-0.382,2.961,0.243,0.12,20180102,50ETF,510050,购
2018-01-02,10001097,510050C1801M02900,50ETF购1月2900,0.55,-0.424,3.428,0.283,0.093,20180102,50ETF,510050,购
2018-01-02,10001098,510050C1801M02950,50ETF购1月2950,0.381,-0.399,3.28,0.272,0.065,20180102,50ETF,510050,购
2018-01-02,10001099,510050C1801M03000,50ETF购1月3000,0.233,-0.312,2.65,0.218,0.04,20180102,50ETF,510050,购
2018-01-02,10001152,510050C1801M03100,50ETF购1月3100,0.066,-0.132,1.076,0.091,0.011,20180102,50ETF,510050,购
2018-01-02,10001155,510050C1802M02650,50ETF购2月2650,0.885,-0.218,0.796,0.223,0.358,20180102,50ETF,510050,购
2018-01-02,10001156,510050C1802M02700,50ETF购2月2700,0.858,-0.225,1.019,0.258,0.353,20180102,50ETF,510050,购
2018-01-02,10001141,510050C1802M02750,50ETF购2月2750,0.818,-0.233,1.322,0.303,0.342,20180102,50ETF,510050,购
2018-01-02,10001142,510050C1802M02800,50ETF购2月2800,0.754,-0.248,1.686,0.362,0.319,20180102,50ETF,510050,购
2018-01-02,10001143,510050C1802M02850,50ETF购2月2850,0.664,-0.264,2.017,0.419,0.284,20180102,50ETF,510050,购
2018-01-02,10001144,510050C1802M02900,50ETF购2月2900,0.557,-0.272,2.203,0.454,0.24,20180102,50ETF,510050,购
2018-01-02,10001145,510050C1802M02950,50ETF购2月2950,0.446,-0.261,2.227,0.454,0.194,20180102,50ETF,510050,购
2018-01-02,10001157,510050C1802M03000,50ETF购2月3000,0.341,-0.237,2.061,0.422,0.149,20180102,50ETF,510050,购
2018-01-02,10001158,510050C1802M03100,50ETF购2月3100,0.18,-0.169,1.431,0.302,0.079,20180102,50ETF,510050,购
2018-01-02,10000989,510050C1803A02500,50ETF购3月2455A,0.9,-0.222,0.415,0.247,0.495,20180102,50ETF,510050,购
2018-01-02,10000987,510050C1803A02550,50ETF购3月2504A,0.894,-0.213,0.477,0.256,0.503,20180102,50ETF,510050,购
2018-01-02,10000969,510050C1803A02600,50ETF购3月2553A,0.883,-0.211,0.558,0.275,0.507,20180102,50ETF,510050,购
2018-01-02,10000970,510050C1803A02650,50ETF购3月2602A,0.865,-0.215,0.664,0.304,0.505,20180102,50ETF,510050,购
2018-01-02,10000971,510050C1803A02700,50ETF购3月2651A,0.844,-0.217,0.798,0.336,0.501,20180102,50ETF,510050,购
2018-01-02,10000972,510050C1803A02750,50ETF购3月2700A,0.807,-0.23,0.955,0.384,0.487,20180102,50ETF,510050,购
2018-01-02,10000973,510050C1803A02800,50ETF购3月2749A,0.766,-0.235,1.144,0.43,0.469,20180102,50ETF,510050,购
2018-01-02,10000985,510050C1803A02850,50ETF购3月2798A,0.703,-0.255,1.284,0.486,0.433,20180102,50ETF,510050,购
2018-01-02,10001009,510050C1803A02900,50ETF购3月2847A,0.64,-0.256,1.461,0.525,0.399,20180102,50ETF,510050,购
2018-01-02,10001039,510050C1803A02950,50ETF购3月2896A,0.568,-0.246,1.649,0.552,0.358,20180102,50ETF,510050,购
2018-01-02,10001047,510050C1803A03000,50ETF购3月2946A,0.485,-0.243,1.672,0.559,0.308,20180102,50ETF,510050,购
2018-01-02,10001055,510050C1803A03100,50ETF购3月3044A,0.334,-0.216,1.5,0.511,0.214,20180102,50ETF,510050,购
2018-01-02,10001063,510050C1803A03200,50ETF购3月3142A,0.219,-0.177,1.174,0.414,0.141,20180102,50ETF,510050,购
2018-01-02,10001069,510050C1803A03300,50ETF购3月3240A,0.142,-0.14,0.85,0.316,0.092,20180102,50ETF,510050,购
2018-01-02,10001163,510050C1803M02650,50ETF购3月2650,0.842,-0.22,0.794,0.338,0.5,20180102,50ETF,510050,购
2018-01-02,10001137,510050C1803M02700,50ETF购3月2700,0.807,-0.23,0.955,0.384,0.487,20180102,50ETF,510050,购
2018-01-02,10001129,510050C1803M02750,50ETF购3月2750,0.765,-0.235,1.148,0.431,0.468,20180102,50ETF,510050,购
2018-01-02,10001105,510050C1803M02800,50ETF购3月2800,0.71,-0.24,1.357,0.48,0.44,20180102,50ETF,510050,购
2018-01-02,10001106,510050C1803M02850,50ETF购3月2850,0.642,-0.243,1.557,0.524,0.403,20180102,50ETF,510050,购
2018-01-02,10001107,510050C1803M02900,50ETF购3月2900,0.561,-0.245,1.663,0.553,0.355,20180102,50ETF,510050,购
2018-01-02,10001108,510050C1803M02950,50ETF购3月2950,0.477,-0.24,1.689,0.559,0.304,20180102,50ETF,510050,购
2018-01-02,10001109,510050C1803M03000,50ETF购3月3000,0.398,-0.231,1.607,0.541,0.255,20180102,50ETF,510050,购
2018-01-02,10001164,510050C1803M03100,50ETF购3月3100,0.263,-0.195,1.32,0.458,0.169,20180102,50ETF,510050,购
2018-01-02,10001025,510050C1806A02700,50ETF购6月2651A,0.778,-0.195,0.662,0.601,0.919,20180102,50ETF,510050,购
2018-01-02,10001026,510050C1806A02750,50ETF购6月2700A,0.749,-0.196,0.744,0.643,0.898,20180102,50ETF,510050,购
2018-01-02,10001027,510050C1806A02800,50ETF购6月2749A,0.713,-0.199,0.822,0.688,0.866,20180102,50ETF,510050,购
2018-01-02,10001028,510050C1806A02850,50ETF购6月2798A,0.673,-0.2,0.898,0.729,0.827,20180102,50ETF,510050,购
2018-01-02,10001029,510050C1806A02900,50ETF购6月2847A,0.627,-0.202,0.957,0.764,0.778,20180102,50ETF,510050,购
2018-01-02,10001041,510050C1806A02950,50ETF购6月2896A,0.58,-0.201,1.011,0.789,0.726,20180102,50ETF,510050,购
2018-01-02,10001049,510050C1806A03000,50ETF购6月2946A,0.529,-0.199,1.037,0.803,0.667,20180102,50ETF,510050,购
2018-01-02,10001057,510050C1806A03100,50ETF购6月3044A,0.43,-0.19,1.024,0.793,0.549,20180102,50ETF,510050,购
2018-01-02,10001065,510050C1806A03200,50ETF购6月3142A,0.341,-0.174,0.944,0.741,0.439,20180102,50ETF,510050,购
2018-01-02,10001071,510050C1806A03300,50ETF购6月3240A,0.267,-0.156,0.828,0.663,0.345,20180102,50ETF,510050,购
2018-01-02,10001167,510050C1806M02650,50ETF购6月2650,0.778,-0.195,0.661,0.601,0.919,20180102,50ETF,510050,购
2018-01-02,10001139,510050C1806M02700,50ETF购6月2700,0.749,-0.196,0.744,0.643,0.898,20180102,50ETF,510050,购
2018-01-02,10001131,510050C1806M02750,50ETF购6月2750,0.712,-0.199,0.825,0.688,0.866,20180102,50ETF,510050,购
2018-01-02,10001115,510050C1806M02800,50ETF购6月2800,0.671,-0.201,0.898,0.731,0.824,20180102,50ETF,510050,购
2018-01-02,10001116,510050C1806M02850,50ETF购6月2850,0.625,-0.201,0.966,0.765,0.776,20180102,50ETF,510050,购
2018-01-02,10001117,510050C1806M02900,50ETF购6月2900,0.576,-0.201,1.012,0.791,0.721,20180102,50ETF,510050,购
2018-01-02,10001118,510050C1806M02950,50ETF购6月2950,0.525,-0.199,1.033,0.804,0.662,20180102,50ETF,510050,购
2018-01-02,10001119,510050C1806M03000,50ETF购6月3000,0.473,-0.194,1.044,0.804,0.601,20180102,50ETF,510050,购
2018-01-02,10001168,510050C1806M03100,50ETF购6月3100,0.378,-0.182,0.982,0.767,0.485,20180102,50ETF,510050,购
2018-01-02,10001084,510050P1801A02900,50ETF沽1月2847A,-0.245,-0.233,3.222,0.224,-0.044,20180102,50ETF,510050,沽
2018-01-02,10001078,510050P1801A02950,50ETF沽1月2896A,-0.428,-0.282,3.996,0.28,-0.077,20180102,50ETF,510050,沽
2018-01-02,10001079,510050P1801A03000,50ETF沽1月2946A,-0.629,-0.251,3.877,0.27,-0.114,20180102,50ETF,510050,沽
2018-01-02,10001080,510050P1801A03100,50ETF沽1月3044A,-0.893,-0.077,1.806,0.132,-0.165,20180102,50ETF,510050,沽
2018-01-02,10001081,510050P1801A03200,50ETF沽1月3142A,-0.921,-0.102,0.958,0.105,-0.176,20180102,50ETF,510050,沽
2018-01-02,10001082,510050P1801A03300,50ETF沽1月3240A,-0.935,-0.122,0.633,0.091,-0.184,20180102,50ETF,510050,沽
2018-01-02,10001153,510050P1801M02650,50ETF沽1月2650,-0.012,-0.031,0.258,0.023,-0.002,20180102,50ETF,510050,沽
2018-01-02,10001136,510050P1801M02700,50ETF沽1月2700,-0.021,-0.044,0.464,0.036,-0.004,20180102,50ETF,510050,沽
2018-01-02,10001128,510050P1801M02750,50ETF沽1月2750,-0.048,-0.079,0.985,0.071,-0.008,20180102,50ETF,510050,沽
2018-01-02,10001100,510050P1801M02800,50ETF沽1月2800,-0.113,-0.142,2.005,0.137,-0.02,20180102,50ETF,510050,沽
2018-01-02,10001101,510050P1801M02850,50ETF沽1月2850,-0.255,-0.238,3.291,0.229,-0.046,20180102,50ETF,510050,沽
2018-01-02,10001102,510050P1801M02900,50ETF沽1月2900,-0.444,-0.285,3.994,0.282,-0.08,20180102,50ETF,510050,沽
2018-01-02,10001103,510050P1801M02950,50ETF沽1月2950,-0.643,-0.248,3.8,0.266,-0.116,20180102,50ETF,510050,沽
2018-01-02,10001104,510050P1801M03000,50ETF沽1月3000,-0.815,-0.138,2.819,0.191,-0.149,20180102,50ETF,510050,沽
2018-01-02,10001154,510050P1801M03100,50ETF沽1月3100,-0.911,-0.094,1.214,0.115,-0.171,20180102,50ETF,510050,沽
2018-01-02,10001159,510050P1802M02650,50ETF沽2月2650,-0.037,-0.038,0.502,0.093,-0.017,20180102,50ETF,510050,沽
2018-01-02,10001160,510050P1802M02700,50ETF沽2月2700,-0.065,-0.057,0.83,0.146,-0.03,20180102,50ETF,510050,沽
2018-01-02,10001146,510050P1802M02750,50ETF沽2月2750,-0.117,-0.085,1.311,0.226,-0.055,20180102,50ETF,510050,沽
2018-01-02,10001147,510050P1802M02800,50ETF沽2月2800,-0.199,-0.116,1.871,0.321,-0.093,20180102,50ETF,510050,沽
2018-01-02,10001148,510050P1802M02850,50ETF沽2月2850,-0.308,-0.14,2.366,0.404,-0.144,20180102,50ETF,510050,沽
2018-01-02,10001149,510050P1802M02900,50ETF沽2月2900,-0.436,-0.15,2.639,0.452,-0.206,20180102,50ETF,510050,沽
2018-01-02,10001150,510050P1802M02950,50ETF沽2月2950,-0.569,-0.134,2.673,0.451,-0.27,20180102,50ETF,510050,沽
2018-01-02,10001161,510050P1802M03000,50ETF沽2月3000,-0.696,-0.1,2.406,0.402,-0.333,20180102,50ETF,510050,沽
2018-01-02,10001162,510050P1802M03100,50ETF沽2月3100,-0.839,-0.056,1.435,0.281,-0.411,20180102,50ETF,510050,沽
2018-01-02,10000990,510050P1803A02500,50ETF沽3月2455A,-0.021,-0.027,0.199,0.072,-0.015,20180102,50ETF,510050,沽
2018-01-02,10000988,510050P1803A02550,50ETF沽3月2504A,-0.028,-0.031,0.263,0.089,-0.019,20180102,50ETF,510050,沽
2018-01-02,10000974,510050P1803A02600,50ETF沽3月2553A,-0.036,-0.035,0.35,0.111,-0.025,20180102,50ETF,510050,沽
2018-01-02,10000975,510050P1803A02650,50ETF沽3月2602A,-0.055,-0.047,0.506,0.155,-0.038,20180102,50ETF,510050,沽
2018-01-02,10000976,510050P1803A02700,50ETF沽3月2651A,-0.079,-0.059,0.704,0.207,-0.055,20180102,50ETF,510050,沽
2018-01-02,10000977,510050P1803A02750,50ETF沽3月2700A,-0.114,-0.073,0.964,0.271,-0.08,20180102,50ETF,510050,沽
2018-01-02,10000978,510050P1803A02800,50ETF沽3月2749A,-0.167,-0.091,1.28,0.351,-0.117,20180102,50ETF,510050,沽
2018-01-02,10000986,510050P1803A02850,50ETF沽3月2798A,-0.239,-0.108,1.602,0.435,-0.168,20180102,50ETF,510050,沽
2018-01-02,10001010,510050P1803A02900,50ETF沽3月2847A,-0.325,-0.119,1.879,0.505,-0.23,20180102,50ETF,510050,沽
2018-01-02,10001040,510050P1803A02950,50ETF沽3月2896A,-0.422,-0.12,2.086,0.549,-0.3,20180102,50ETF,510050,沽
2018-01-02,10001048,510050P1803A03000,50ETF沽3月2946A,-0.527,-0.113,2.125,0.558,-0.377,20180102,50ETF,510050,沽
2018-01-02,10001056,510050P1803A03100,50ETF沽3月3044A,-0.717,-0.072,1.797,0.475,-0.52,20180102,50ETF,510050,沽
2018-01-02,10001064,510050P1803A03200,50ETF沽3月3142A,-0.816,-0.049,1.211,0.373,-0.607,20180102,50ETF,510050,沽
2018-01-02,10001070,510050P1803A03300,50ETF沽3月3240A,-0.844,-0.062,0.858,0.336,-0.649,20180102,50ETF,510050,沽
2018-01-02,10001165,510050P1803M02650,50ETF沽3月2650,-0.076,-0.057,0.691,0.2,-0.053,20180102,50ETF,510050,沽
2018-01-02,10001138,510050P1803M02700,50ETF沽3月2700,-0.114,-0.073,0.964,0.271,-0.08,20180102,50ETF,510050,沽
2018-01-02,10001130,510050P1803M02750,50ETF沽3月2750,-0.169,-0.092,1.286,0.354,-0.119,20180102,50ETF,510050,沽
2018-01-02,10001110,510050P1803M02800,50ETF沽3月2800,-0.241,-0.107,1.62,0.437,-0.17,20180102,50ETF,510050,沽
2018-01-02,10001111,510050P1803M02850,50ETF沽3月2850,-0.33,-0.118,1.909,0.508,-0.233,20180102,50ETF,510050,沽
2018-01-02,10001112,510050P1803M02900,50ETF沽3月2900,-0.431,-0.123,2.05,0.551,-0.307,20180102,50ETF,510050,沽
2018-01-02,10001113,510050P1803M02950,50ETF沽3月2950,-0.535,-0.114,2.088,0.558,-0.383,20180102,50ETF,510050,沽
2018-01-02,10001114,510050P1803M03000,50ETF沽3月3000,-0.635,-0.096,1.975,0.527,-0.457,20180102,50ETF,510050,沽
2018-01-02,10001166,510050P1803M03100,50ETF沽3月3100,-0.799,-0.042,1.464,0.394,-0.586,20180102,50ETF,510050,沽
2018-01-02,10001030,510050P1806A02700,50ETF沽6月2651A,-0.148,-0.061,0.741,0.467,-0.22,20180102,50ETF,510050,沽
2018-01-02,10001031,510050P1806A02750,50ETF沽6月2700A,-0.186,-0.068,0.88,0.54,-0.276,20180102,50ETF,510050,沽
2018-01-02,10001032,510050P1806A02800,50ETF沽6月2749A,-0.232,-0.074,1.02,0.616,-0.346,20180102,50ETF,510050,沽
2018-01-02,10001033,510050P1806A02850,50ETF沽6月2798A,-0.287,-0.079,1.145,0.687,-0.429,20180102,50ETF,510050,沽
2018-01-02,10001034,510050P1806A02900,50ETF沽6月2847A,-0.346,-0.081,1.257,0.744,-0.519,20180102,50ETF,510050,沽
2018-01-02,10001042,510050P1806A02950,50ETF沽6月2896A,-0.41,-0.08,1.336,0.785,-0.618,20180102,50ETF,510050,沽
2018-01-02,10001050,510050P1806A03000,50ETF沽6月2946A,-0.477,-0.075,1.383,0.804,-0.724,20180102,50ETF,510050,沽
2018-01-02,10001058,510050P1806A03100,50ETF沽6月3044A,-0.609,-0.057,1.343,0.775,-0.935,20180102,50ETF,510050,沽
2018-01-02,10001066,510050P1806A03200,50ETF沽6月3142A,-0.727,-0.029,1.172,0.671,-1.133,20180102,50ETF,510050,沽
2018-01-02,10001072,510050P1806A03300,50ETF沽6月3240A,-0.766,-0.036,0.878,0.619,-1.234,20180102,50ETF,510050,沽
2018-01-02,10001169,510050P1806M02650,50ETF沽6月2650,-0.146,-0.06,0.739,0.462,-0.216,20180102,50ETF,510050,沽
2018-01-02,10001140,510050P1806M02700,50ETF沽6月2700,-0.186,-0.068,0.88,0.54,-0.276,20180102,50ETF,510050,沽
2018-01-02,10001132,510050P1806M02750,50ETF沽6月2750,-0.233,-0.073,1.025,0.617,-0.347,20180102,50ETF,510050,沽
2018-01-02,10001120,510050P1806M02800,50ETF沽6月2800,-0.289,-0.079,1.153,0.69,-0.432,20180102,50ETF,510050,沽
2018-01-02,10001121,510050P1806M02850,50ETF沽6月2850,-0.349,-0.08,1.269,0.747,-0.524,20180102,50ETF,510050,沽
2018-01-02,10001122,510050P1806M02900,50ETF沽6月2900,-0.415,-0.08,1.335,0.787,-0.627,20180102,50ETF,510050,沽
2018-01-02,10001123,510050P1806M02950,50ETF沽6月2950,-0.482,-0.075,1.379,0.805,-0.732,20180102,50ETF,510050,沽
2018-01-02,10001124,510050P1806M03000,50ETF沽6月3000,-0.55,-0.067,1.374,0.799,-0.84,20180102,50ETF,510050,沽
2018-01-02,10001170,510050P1806M03100,50ETF沽6月3100,-0.677,-0.043,1.253,0.725,-1.049,20180102,50ETF,510050,沽
2018-01-03,10001083,510050C1801A02900,50ETF购1月2847A,0.751,-0.356,2.963,0.221,0.121,20180103,50ETF,510050,购
2018-01-03,10001073,510050C1801A02950,50ETF购1月2896A,0.587,-0.4,3.749,0.272,0.095,20180103,50ETF,510050,购
2018-01-03,10001074,510050C1801A03000,50ETF购1月2946A,0.398,-0.385,3.679,0.27,0.065,20180103,50ETF,510050,购
2018-01-03,10001075,510050C1801A03100,50ETF购1月3044A,0.122,-0.194,1.927,0.141,0.02,20180103,50ETF,510050,购
2018-01-03,10001076,510050C1801A03200,50ETF购1月3142A,0.028,-0.065,0.576,0.045,0.005,20180103,50ETF,510050,购
2018-01-03,10001077,510050C1801A03300,50ETF购1月3240A,0.017,-0.052,0.291,0.029,0.003,20180103,50ETF,510050,购
2018-01-03,10001151,510050C1801M02650,50ETF购1月2650,0.949,-0.233,0.604,0.074,0.143,20180103,50ETF,510050,购
2018-01-03,10001135,510050C1801M02700,50ETF购1月2700,0.931,-0.25,0.858,0.092,0.143,20180103,50ETF,510050,购
