日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2024-04-01,10006915,510050C2404M02200,50ETF购4月2200,1.0,-0.064,0.0,0.0,0.138,20240401,50ETF,510050,购
2024-04-01,10006916,510050C2404M02250,50ETF购4月2250,1.0,-0.066,0.0,0.0,0.142,20240401,50ETF,510050,购
2024-04-01,10006917,510050C2404M02300,50ETF购4月2300,0.973,-0.113,0.638,0.039,0.14,20240401,50ETF,510050,购
2024-04-01,10006918,510050C2404M02350,50ETF购4月2350,0.937,-0.15,1.41,0.077,0.138,20240401,50ETF,510050,购
2024-04-01,10006919,510050C2404M02400,50ETF购4月2400,0.825,-0.237,2.928,0.16,0.123,20240401,50ETF,510050,购
2024-04-01,10006920,510050C2404M02450,50ETF购4月2450,0.644,-0.294,4.421,0.232,0.097,20240401,50ETF,510050,购
2024-04-01,10006921,510050C2404M02500,50ETF购4月2500,0.412,-0.291,4.585,0.242,0.063,20240401,50ETF,510050,购
2024-04-01,10006922,510050C2404M02550,50ETF购4月2550,0.215,-0.215,3.397,0.182,0.033,20240401,50ETF,510050,购
2024-04-01,10006923,510050C2404M02600,50ETF购4月2600,0.103,-0.138,1.96,0.111,0.016,20240401,50ETF,510050,购
2024-04-01,10007005,510050C2404M02650,50ETF购4月2650,0.056,-0.096,1.106,0.07,0.009,20240401,50ETF,510050,购
2024-04-01,10007019,510050C2404M02700,50ETF购4月2700,0.029,-0.059,0.596,0.041,0.004,20240401,50ETF,510050,购
2024-04-01,10007035,510050C2405M02250,50ETF购5月2250,0.973,-0.092,0.478,0.057,0.304,20240401,50ETF,510050,购
2024-04-01,10007036,510050C2405M02300,50ETF购5月2300,0.935,-0.121,0.988,0.118,0.297,20240401,50ETF,510050,购
2024-04-01,10007037,510050C2405M02350,50ETF购5月2350,0.867,-0.156,1.687,0.199,0.28,20240401,50ETF,510050,购
2024-04-01,10007038,510050C2405M02400,50ETF购5月2400,0.758,-0.195,2.442,0.289,0.248,20240401,50ETF,510050,购
2024-04-01,10007039,510050C2405M02450,50ETF购5月2450,0.619,-0.217,2.984,0.353,0.204,20240401,50ETF,510050,购
