日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2021-05-06,10003369,510050C2105M03000,50ETF购5月3000,1.0,-0.088,0.0,0.0,0.164,20210506,50ETF,510050,购
2021-05-06,10003325,510050C2105M03100,50ETF购5月3100,1.0,-0.091,0.0,0.0,0.17,20210506,50ETF,510050,购
2021-05-06,10003326,510050C2105M03200,50ETF购5月3200,0.967,-0.185,0.516,0.059,0.169,20210506,50ETF,510050,购
2021-05-06,10003327,510050C2105M03300,50ETF购5月3300,0.884,-0.315,1.505,0.157,0.158,20210506,50ETF,510050,购
2021-05-06,10003328,510050C2105M03400,50ETF购5月3400,0.655,-0.503,2.815,0.297,0.119,20210506,50ETF,510050,购
2021-05-06,10003329,510050C2105M03500,50ETF购5月3500,0.366,-0.511,2.722,0.303,0.067,20210506,50ETF,510050,购
2021-05-06,10003330,510050C2105M03600,50ETF购5月3600,0.162,-0.343,1.681,0.198,0.03,20210506,50ETF,510050,购
2021-05-06,10003331,510050C2105M03700,50ETF购5月3700,0.06,-0.172,0.778,0.096,0.011,20210506,50ETF,510050,购
2021-05-06,10003332,510050C2105M03800,50ETF购5月3800,0.031,-0.116,0.398,0.057,0.006,20210506,50ETF,510050,购
2021-05-06,10003333,510050C2105M03900,50ETF购5月3900,0.016,-0.074,0.208,0.033,0.003,20210506,50ETF,510050,购
2021-05-06,10003363,510050C2105M04000,50ETF购5月4000,0.011,-0.06,0.133,0.024,0.002,20210506,50ETF,510050,购
2021-05-06,10002895,510050C2106A02950,50ETF购6月2908A,1.0,-0.085,0.0,0.0,0.381,20210506,50ETF,510050,购
2021-05-06,10002859,510050C2106A03000,50ETF购6月2957A,1.0,-0.086,0.0,0.0,0.387,20210506,50ETF,510050,购
2021-05-06,10002860,510050C2106A03100,50ETF购6月3056A,1.0,-0.089,0.0,0.0,0.4,20210506,50ETF,510050,购
2021-05-06,10002861,510050C2106A03200,50ETF购6月3154A,1.0,-0.092,0.0,0.0,0.413,20210506,50ETF,510050,购
2021-05-06,10002862,510050C2106A03300,50ETF购6月3253A,0.883,-0.218,1.091,0.246,0.372,20210506,50ETF,510050,购
2021-05-06,10002863,510050C2106A03400,50ETF购6月3351A,0.713,-0.329,1.686,0.426,0.304,20210506,50ETF,510050,购
2021-05-06,10002864,510050C2106A03500,50ETF购6月3450A,0.526,-0.37,1.886,0.497,0.227,20210506,50ETF,510050,购
2021-05-06,10002865,510050C2106A03600,50ETF购6月3549A,0.351,-0.34,1.707,0.463,0.152,20210506,50ETF,510050,购
2021-05-06,10002866,510050C2106A03700,50ETF购6月3647A,0.215,-0.269,1.305,0.365,0.094,20210506,50ETF,510050,购
