日期,合约编码,交易代码,合约简称,Delta,Theta,Gamma,Vega,Rho,date,跟踪ETF,ETF代码,多空类型
2020-09-01,10002423,510050C2009M02350,50ETF购9月2350,1.0,-0.069,0.0,0.0,0.141,20200901,50ETF,510050,购
2020-09-01,10002405,510050C2009M02400,50ETF购9月2400,1.0,-0.07,0.0,0.0,0.144,20200901,50ETF,510050,购
2020-09-01,10002406,510050C2009M02450,50ETF购9月2450,1.0,-0.072,0.0,0.0,0.147,20200901,50ETF,510050,购
2020-09-01,10002299,510050C2009M02500,50ETF购9月2500,1.0,-0.073,0.0,0.0,0.15,20200901,50ETF,510050,购
2020-09-01,10002300,510050C2009M02550,50ETF购9月2550,1.0,-0.074,0.0,0.0,0.153,20200901,50ETF,510050,购
2020-09-01,10002301,510050C2009M02600,50ETF购9月2600,1.0,-0.076,0.0,0.0,0.156,20200901,50ETF,510050,购
2020-09-01,10002302,510050C2009M02650,50ETF购9月2650,1.0,-0.077,0.0,0.0,0.159,20200901,50ETF,510050,购
2020-09-01,10002303,510050C2009M02700,50ETF购9月2700,1.0,-0.079,0.0,0.0,0.162,20200901,50ETF,510050,购
2020-09-01,10002269,510050C2009M02750,50ETF购9月2750,1.0,-0.08,0.0,0.0,0.165,20200901,50ETF,510050,购
2020-09-01,10002231,510050C2009M02800,50ETF购9月2800,1.0,-0.082,0.0,0.0,0.168,20200901,50ETF,510050,购
2020-09-01,10002232,510050C2009M02850,50ETF购9月2850,1.0,-0.083,0.0,0.0,0.171,20200901,50ETF,510050,购
2020-09-01,10002233,510050C2009M02900,50ETF购9月2900,1.0,-0.085,0.0,0.0,0.174,20200901,50ETF,510050,购
2020-09-01,10002234,510050C2009M02950,50ETF购9月2950,1.0,-0.086,0.0,0.0,0.177,20200901,50ETF,510050,购
2020-09-01,10002235,510050C2009M03000,50ETF购9月3000,1.0,-0.088,0.0,0.0,0.181,20200901,50ETF,510050,购
2020-09-01,10002236,510050C2009M03100,50ETF购9月3100,0.996,-0.103,0.103,0.011,0.186,20200901,50ETF,510050,购
2020-09-01,10002237,510050C2009M03200,50ETF购9月3200,0.877,-0.403,1.065,0.17,0.167,20200901,50ETF,510050,购
2020-09-01,10002238,510050C2009M03300,50ETF购9月3300,0.726,-0.607,1.708,0.278,0.14,20200901,50ETF,510050,购
2020-09-01,10002239,510050C2009M03400,50ETF购9月3400,0.532,-0.722,1.954,0.332,0.104,20200901,50ETF,510050,购
