日期,累计分红
2012-12-18,0.033
2014-01-21,0.081
2015-01-20,0.116
2016-01-20,0.167
2017-01-23,0.222
2018-01-23,0.268
2019-01-16,0.327
2019-12-11,0.389
2021-01-18,0.461
2022-01-19,0.536
2023-01-16,0.6
2024-01-18,0.669
2025-06-18,0.757
