日期,累计分红
2006-05-19,0.024
2006-11-16,0.061
2008-11-19,0.121
2010-11-16,0.147
2012-05-16,0.158
2012-11-13,0.195
2013-11-15,0.248
2014-11-17,0.291
2016-11-29,0.344
2017-11-28,0.398
2018-12-03,0.447
2019-12-02,0.494
2020-11-30,0.545
2021-11-29,0.586
2022-12-01,0.623
2023-11-27,0.662
2024-12-02,0.717
